TotalRelatorio,Codigo,Descricao_Produto,Categoria,Quantidade,Preco,Atributos,Deposito,Marca,ValorTotal,NCM,Unidade
"R$ 35.167.575,97",7891095028351,FARINHA DE AVEIA 170G,Mercearia,"0,00","R$ 6,99",,Loja,YOKI,"R$ 0,00",11041200,UN
"R$ 35.167.575,97",7896117600140,FARINHA DE MANDIOA DEUSA BIJU 1KG,Mercearia,"-9,00","R$ 13,50",,Loja,DEUSA,"-R$ 121,50",11022000,UN
"R$ 35.167.575,97",M987-1,FARINHA DE MANDIOCA BIJU TEMPERADA PICANHA COM PIMENTA 250G,Mercearia,"-24,00","R$ 5,80",,Loja,DEUSA,"-R$ 139,20",19019090,UN
"R$ 35.167.575,97",M619-1,FARINHA DE MILHO BIJU 1KG,Mercearia,"-87,00","R$ 14,99",,Loja,.,"-R$ 1.304,13",11022000,UN
"R$ 35.167.575,97",M620-1,FARINHA DE MILHO BIJU 500G,Mercearia,"-190,00","R$ 7,99",,Loja,.,"-R$ 1.518,10",11022000,UN
"R$ 35.167.575,97",M985-1,FARINHA DE MILHO BIJU TEMPERADA SABOR BACON 350G,Mercearia,"0,00","R$ 7,90",,Loja,DEUSA,"R$ 0,00",19019090,UN
"R$ 35.167.575,97",M728-1,FARINHA DE ROSCA,Mercearia,"6,00","R$ 6,80",,Loja,PULLMAN,"R$ 40,80",19019090,UN
"R$ 35.167.575,97",M389-1,FARINHA DE ROSCA 1 KG,Mercearia,"-1,00","R$ 4,90",,Loja,DEUSA,"-R$ 4,90",19019090,UN
"R$ 35.167.575,97",7896117601031,FARINHA DE ROSCA DEUSA 1KG,Mercearia,"0,00","R$ 7,40",,Loja,DEUSA,"R$ 0,00",19019090,UN
"R$ 35.167.575,97",7896022207984,FARINHA DE TRIGO 1KG,Mercearia,"-1,00","R$ 5,99",,Loja,RENATA,"-R$ 5,99",11010010,UN
