TextBox1,aTSV_MerchandiseCustomCodeDataTextBox,aTSV_MerchandiseDescriptionDataTextBox,aTSV_BrandDescriptionDataTextBox,aTNU_SaleQuantityDataTextBox,TextBox3
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7899916919925,SUCO THE NATURAL ONE FRESH CRANBERRY 900ML,THE NATURAL ONE,3,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898192030072,SUCO SU FRESH UVA 1L,RUFFKES,13,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898192030065,SUCO SU FRESH MARACUJA 1L,GRILL,18,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,7898192030577,SUCO SU FRESH LARANJA 1L,RUFLLES,31,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M602-1,SUCO SERIGY 500ML,.,5,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1129-1,SUCO NAFRUTY MORANGO 1L,NAFRUTY,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M1854-1,SUCO MAGUARY NECTAR/REFRESCO 1L UVA,MAGUARY,1,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M243-1,SUCO MAGUARY NECTAR 1L MARACUJA,MAGUARY,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M242-1,SUCO MAGUARY NECTAR 1L LARANJA,MAGUARY,7,Todos
Todos Vendedores - 01/07/2026 00:00:00 até 22/09/2026 23:59:59 - NF: Todos,M241-1,SUCO MAGUARY NECTAR 1L ABACAXI,MAGUARY,5,Todos
